rainfall,humidity,temperature,wind_speed,pressure,visibility,risk
27.7,45.9,15.0,9.5,987.9,1811,Low
38.0,71.7,33.6,12.4,1007.6,2083,Medium
82.0,76.9,15.4,23.5,1015.4,9028,High
49.2,44.7,6.8,4.4,985.2,4676,Medium
7.5,87.7,23.5,9.7,1005.7,9365,Medium
15.7,62.0,7.4,6.1,982.2,6493,Low
13.8,52.9,19.6,14.3,1020.0,7105,Low
3.9,45.0,21.0,20.0,1023.2,6608,Low
64.9,92.0,24.1,7.8,1012.2,5239,High
38.1,98.3,12.3,23.7,1018.0,972,High
5.9,80.6,28.7,29.7,1005.7,9006,Medium
23.6,83.3,29.4,3.1,1013.4,7911,Medium
83.8,73.1,14.8,19.2,982.3,5018,High
82.8,78.7,17.8,10.6,1010.5,4589,High
77.2,99.8,23.4,2.3,1010.4,5312,High
99.0,77.2,30.1,18.4,1010.8,633,High
44.2,49.3,8.8,16.2,1018.6,8771,Medium
52.3,41.5,31.8,5.1,982.1,9502,Medium
46.4,78.1,23.8,15.4,993.6,8162,Medium
25.3,71.9,7.0,3.6,1002.1,6851,Low
52.8,90.1,12.1,19.3,995.2,2442,Medium
17.3,93.4,24.1,0.1,980.1,7458,Medium
94.2,66.1,27.5,6.2,991.6,9807,High
89.7,71.2,22.4,21.1,989.2,3322,High
4.8,96.8,9.8,8.4,1015.6,8820,Medium
51.2,49.9,10.0,26.8,985.3,3892,Medium
9.0,49.8,23.1,26.4,1012.0,9674,Low
6.5,60.8,18.9,14.9,991.7,5781,Low
87.8,61.3,34.5,20.3,1006.0,5805,High
82.8,61.2,11.2,10.6,1006.2,4878,High
72.4,54.4,20.6,7.1,996.2,2663,High
66.8,87.5,20.9,13.6,995.6,6356,High
32.9,56.0,32.5,9.0,1004.9,2558,Medium
51.4,54.7,32.6,24.5,985.4,7465,Medium
46.6,93.3,24.5,18.2,981.0,4943,Medium
90.7,56.0,20.2,7.2,1003.1,1205,High
32.0,87.2,24.9,18.2,1016.0,2802,Medium
6.6,51.0,24.7,7.9,986.0,1839,Low
28.8,91.2,21.8,14.7,1011.6,5720,Medium
48.1,79.3,29.5,22.2,995.9,8428,Medium
71.7,61.7,16.4,17.0,1003.7,8126,High
99.4,58.1,28.9,14.7,1017.6,2930,High
83.2,96.2,17.5,21.1,1017.5,7103,High
92.4,55.7,30.1,21.8,981.3,3425,High
20.3,42.5,30.6,13.0,1017.4,3782,Low
81.6,88.5,22.7,29.3,985.3,973,High
25.6,83.3,23.8,1.7,1015.5,6231,Medium
80.2,70.5,22.7,4.6,1001.4,2935,High
20.1,56.0,26.1,21.1,990.7,4505,Low
0.3,71.0,34.7,20.4,1015.3,3360,Low
22.8,92.1,23.1,21.9,1009.7,8986,Medium
15.1,69.5,25.1,17.8,989.6,4312,Low
7.7,81.1,33.5,13.4,986.8,2911,Medium
63.4,43.6,15.3,20.7,993.5,9124,High
92.5,63.8,15.7,2.8,1014.3,4774,High
46.2,56.1,34.2,4.3,1004.7,7004,Medium
78.7,54.5,15.2,13.0,1013.2,3353,High
75.3,54.8,23.8,4.7,986.0,1443,High
67.6,69.7,25.3,29.5,983.5,4373,High
91.6,58.0,26.9,11.6,983.6,5991,High
56.6,84.0,19.7,0.5,1022.4,5147,Medium
48.2,75.7,5.0,19.2,998.6,1752,Medium
40.7,53.7,29.4,5.4,990.7,5959,Medium
47.0,49.2,29.7,5.9,996.5,2400,Medium
62.4,86.0,29.2,15.9,1010.6,8667,High
37.0,98.6,13.9,25.5,994.5,3386,Medium
61.2,92.8,16.0,16.7,1018.4,6221,High
31.3,81.2,5.5,17.2,987.3,7065,Medium
59.4,78.6,6.8,23.2,986.0,1268,Medium
66.4,61.5,15.1,17.6,1020.9,4631,High
62.0,68.9,32.4,27.0,997.9,4327,High
38.3,86.3,22.8,0.9,1004.7,2752,Medium
17.3,70.6,12.8,14.6,1024.1,9388,Low
77.4,59.6,29.2,22.6,1002.7,8632,High
5.2,95.1,11.2,23.4,983.2,1961,High
48.3,65.7,13.5,27.6,990.1,4346,Medium
37.2,90.3,21.3,2.5,986.7,8906,Medium
64.2,57.8,24.7,2.5,992.9,6021,High
35.1,82.3,23.5,24.2,992.9,5019,Medium
46.5,40.2,9.8,29.0,1008.1,9549,Medium
74.5,70.9,33.2,24.4,995.7,4517,High
39.2,91.1,8.7,14.1,987.6,4651,Medium
13.3,45.6,28.4,12.2,1017.9,2947,Low
60.9,64.5,24.2,14.6,990.9,5872,High
33.0,98.3,34.0,21.0,1018.3,1850,High
74.1,59.1,15.3,27.4,983.2,3173,High
22.8,53.6,12.7,8.5,1019.6,7495,Low
57.0,54.6,21.2,9.6,1003.6,6821,Medium
93.0,99.9,16.1,9.7,1020.0,3160,High
23.6,93.0,31.1,29.6,1002.9,2414,Medium
55.0,64.9,23.1,29.5,1018.5,9332,Medium
54.5,60.7,27.4,7.9,1014.6,2228,Medium
96.9,77.6,22.0,25.4,995.5,3747,High
48.5,88.0,12.4,15.6,1018.1,852,Medium
8.0,98.1,26.3,20.5,998.4,8200,Medium
23.2,58.1,13.6,8.4,983.5,3777,Low
83.5,47.2,11.4,21.3,984.6,6510,High
60.0,85.9,31.1,11.0,1007.9,6263,Medium
18.0,73.2,22.6,19.4,1005.8,4607,Low
57.5,63.6,18.4,16.6,991.6,2353,Medium
21.6,83.5,24.4,9.6,996.4,9648,Medium
5.1,55.5,20.8,7.5,988.5,3534,Low
96.5,68.9,13.8,14.3,1008.7,8784,High
84.4,82.0,12.9,29.5,980.7,5598,High
48.2,85.2,28.9,19.3,1003.3,8772,Medium
64.1,57.9,30.2,26.7,995.7,5930,High
85.6,53.1,13.9,30.0,1009.4,785,High
54.9,55.1,22.6,14.6,995.1,9805,Medium
77.0,61.3,28.4,12.7,1005.9,3922,High
83.8,81.1,27.6,21.1,994.8,3523,High
51.5,95.9,18.6,13.7,1003.4,4548,Medium
99.3,79.0,9.8,0.2,1020.2,2944,High
71.8,96.2,27.5,27.5,993.1,6861,High
37.2,74.1,22.2,20.4,1011.1,7860,Medium
47.0,88.9,26.8,22.1,1000.1,7813,Medium
24.9,68.0,11.4,21.7,984.6,7551,Low
56.6,44.9,10.5,5.8,1007.7,8233,Medium
76.3,57.2,33.4,2.1,1013.7,6044,High
9.3,40.5,31.6,3.6,1015.4,6524,Low
9.2,69.6,16.7,5.9,993.9,6249,Low
2.1,91.4,21.4,15.9,987.3,5963,Medium
50.4,76.1,34.7,11.6,982.9,4061,Medium
94.1,81.3,16.5,11.2,1004.1,4993,High
50.2,40.1,28.6,12.1,989.1,4805,Medium
13.6,69.3,30.5,8.4,1003.8,7393,Low
85.1,91.3,12.3,15.9,1000.6,4930,High
16.5,80.4,28.6,13.7,981.7,1532,Medium
72.7,70.4,6.3,6.7,1015.0,6832,High
96.5,58.0,14.8,22.7,1021.2,6378,High
34.6,42.7,6.3,28.5,1021.0,9299,Medium
49.9,45.6,17.3,11.3,987.3,9537,Medium
77.8,67.3,6.5,10.9,982.5,5495,High
19.8,49.7,33.7,4.5,986.9,9131,Low
59.7,49.8,21.2,16.5,994.9,4587,Medium
56.9,97.7,18.2,24.9,1011.0,2401,Medium
79.8,69.5,20.1,24.3,1018.2,4625,High
86.1,41.0,19.9,19.7,993.0,2396,High
2.2,95.4,10.1,19.3,991.6,6333,Medium
54.8,50.0,15.1,2.0,986.2,7671,Medium
12.8,54.2,21.1,10.6,1008.0,3158,Low
77.4,81.1,33.9,15.0,988.3,1166,High
23.7,75.0,6.9,18.5,1013.2,2788,Low
1.0,43.1,25.8,24.7,1009.0,3499,Low
17.8,53.8,11.8,4.5,1012.6,9649,Low
55.0,58.2,7.3,16.0,1022.5,2713,Medium
19.3,88.5,16.3,14.3,982.9,5168,Medium
90.4,72.0,18.6,15.5,991.8,5643,High
81.1,78.5,32.6,17.8,1020.7,7210,High
35.8,50.9,15.2,5.4,1013.9,1764,Medium
85.8,97.8,24.6,23.8,1005.3,790,High
41.1,98.5,9.1,28.9,988.4,1156,High
31.0,96.4,29.2,12.6,1018.1,8287,Medium
46.2,94.9,24.2,7.1,1014.0,3708,Medium
71.3,81.7,13.6,16.8,1021.5,3803,High
84.2,53.8,34.2,6.3,992.1,1984,High
49.3,60.2,13.3,24.1,989.0,8220,Medium
76.5,91.0,5.5,28.0,1005.1,7722,High
78.7,83.3,15.6,24.8,989.0,7271,High
27.9,65.7,10.6,8.4,993.8,8697,Low
89.8,93.4,9.9,13.9,1011.2,3738,High
64.3,85.7,34.1,25.7,980.6,1023,High
27.7,82.7,15.9,0.5,990.9,6188,Medium
93.5,98.2,32.3,23.8,1015.7,3906,High
6.8,67.5,18.7,1.9,992.1,9779,Low
1.4,73.6,30.5,11.7,990.9,7043,Low
31.3,78.6,32.4,2.7,985.3,9259,Medium
74.9,74.8,8.4,26.3,1012.1,8160,High
22.4,55.6,13.9,29.7,1000.7,9466,Low
